id,dateStart,dateEnd,pair,uPnL,rPnL,side,entryPrice,initalSL,maxTP,idealTP,amount,amountClosed,status,day,tags,avgClosePrice,avgRiskReward,maxRiskReward,exchangeRate,initialBalance,currentRealizedBalance
216022339,2020/01/13 09:45:20,2020/01/13 13:20:10,OANDA:NAS100USD,0,1478.29,buy,9008.4,8992.1,9056.6,9178.6,30.67,30.67,closed,1,"I,C,4D after MSS 1h",9056.59987,2.96,2.96,1,100000,101478.29
216023605,2020/01/14 09:50:25,2020/01/14 09:51:40,OANDA:NAS100USD,0,-500.02,buy,9046.6,9040.8,,9047,86.21,86.21,closed,2,"I,5d after mss 1h",9040.79998,-1,0,1,100000,100978.27
216023883,2020/01/14 10:01:05,2020/01/14 12:22:40,OANDA:NAS100USD,0,1504.4,buy,9034.2,9022.8,9068.5,9083.3,43.86,43.86,closed,2,"I,5d after mss 1h",9068.50005,3.01,3.01,1,100000,102482.67
216027394,2020/01/16 09:36:30,2020/01/16 10:09:35,OANDA:NAS100USD,0,975,buy,9087.4,9077.4,9106.9,9108.5,50,50,closed,4,"I,7d after 1h mss,C",9106.9,1.95,1.95,1,100000,103457.67
216138578,2020/01/22 09:37:55,2020/01/22 11:13:45,OANDA:NAS100USD,0,-86.23,buy,9218.8,9203.8,,9245.8,34.49,34.49,closed,3,"I,C,2D after 1h mss",9216.29986,-0.17,0,1,100000,103371.44
216139155,2020/01/23 10:49:20,2020/01/23 11:39:00,OANDA:NAS100USD,0,19.04,sell,9188,9207,9187.3,9168.2,27.2,27.2,closed,4,,9187.3,0.04,0.04,1,100000,103390.48
216311587,2020/01/27 10:14:55,2020/01/27 10:28:10,OANDA:NAS100USD,0,-500,sell,8964.4,8984.4,,8953.6,25,25,closed,1,,8984.4,-1,0,1,100000,102890.48
216312460,2020/01/28 09:32:55,2020/01/28 09:35:35,OANDA:NAS100USD,0,-499.97,buy,9028.2,9011.2,,9035.2,29.41,29.41,closed,2,,9011.2,-1,0,1,100000,102390.51
216312767,2020/01/28 09:50:10,2020/01/28 11:02:25,OANDA:NAS100USD,0,1920.52,buy,9011.2,8998,9061.9,9244.1,37.88,37.88,closed,2,A,9061.90011,3.84,3.84,1,100000,104311.03
216314894,2020/01/29 09:37:10,2020/01/29 09:39:15,OANDA:NAS100USD,0,-500,buy,9145.6,9135.4,,9146.8,49.02,49.02,closed,3,,9135.40008,-1,0,1,100000,103811.03
216315790,2020/01/29 11:13:00,2020/01/29 11:14:15,OANDA:NAS100USD,0,-500,sell,9107,9115,,9107,62.5,62.5,closed,3,,9115,-1,0,1,100000,103311.03
216316620,2020/01/30 09:56:00,2020/01/30 11:50:45,OANDA:NAS100USD,0,577.13,sell,9096.2,9109.8,9080.5,9019.8,36.76,36.76,closed,4,,9080.50005,1.15,1.15,1,100000,103888.16
216324765,2020/01/31 10:27:15,2020/01/31 10:29:00,OANDA:NAS100USD,0,-500.02,buy,9086.8,9073.6,,9082.5,37.88,37.88,closed,5,,9073.59989,-1,0,1,100000,103388.14
216325971,2020/02/04 09:41:55,2020/02/04 11:11:55,OANDA:NAS100USD,0,1386.41,buy,9242.2,9224.6,9291,9604.4,28.41,28.41,closed,2,,9291.00007,2.77,2.77,1,100000,104774.55
216327390,2020/02/05 09:49:40,2020/02/05 10:13:05,OANDA:NAS100USD,0,-500.14,buy,9403.8,9369.8,,9404.2,14.71,14.71,closed,3,,9369.8,-1,0,1,100000,104274.41
216328117,2020/02/06 09:49:05,2020/02/06 12:40:25,OANDA:NAS100USD,0,1343.66,buy,9381,9358.6,9441.2,9463.2,22.32,22.32,closed,4,,9441.19982,2.69,2.69,1,100000,105618.07
216331685,2020/02/10 09:30:55,2020/02/10 09:30:55,OANDA:NAS100USD,0,0,buy,9383.9,9373.5,,9684,48.08,48.08,closed,1,,9383.9,0,0,1,100000,105618.07
216331963,2020/02/10 09:33:30,2020/02/10 11:37:20,OANDA:NAS100USD,0,2022.94,buy,9393.1,9373.5,9472.4,9684,25.51,25.51,closed,1,,9472.39988,4.05,4.05,1,100000,107641.01
216333260,2020/02/11 09:45:00,2020/02/11 11:30:00,OANDA:NAS100USD,0,611.23,buy,9558.1,9533.8,9587.8,9604.4,20.58,20.58,closed,2,,9587.80019,1.22,1.22,1,100000,108252.24
216336045,2020/02/12 10:04:10,2020/02/12 10:07:55,OANDA:NAS100USD,0,-499.98,buy,9569.4,9556.4,,9565.8,38.46,38.46,closed,3,,9556.4,-1,0,1,100000,107752.26
216336224,2020/02/12 10:14:10,2020/02/12 12:32:25,OANDA:NAS100USD,0,1511.81,buy,9567.3,9554.6,9605.7,9623.4,39.37,39.37,closed,3,,9605.70005,3.02,3.02,1,100000,109264.07
216339138,2020/02/13 09:34:20,2020/02/13 10:01:15,OANDA:NAS100USD,0,34,buy,9559,9534,9560.7,9684,20,20,closed,4,,9560.7,0.07,0.07,1,100000,109298.07
216340738,2020/02/14 09:36:30,2020/02/14 09:36:50,OANDA:NAS100USD,0,-499.95,buy,9620.2,9609.2,,9624.1,45.45,45.45,closed,5,,9609.2,-1,0,1,100000,108798.12
216341159,2020/02/14 10:15:00,2020/02/14 11:18:10,OANDA:NAS100USD,0,3053.72,buy,9595.5,9589,9635.2,9637,76.92,76.92,closed,5,,9635.19995,6.11,6.11,1,100000,111851.84
216344156,2020/02/20 10:36:35,2020/02/20 11:19:30,OANDA:NAS100USD,0,1571.33,sell,9702.4,9719.2,9649.6,8517.3,29.76,29.76,closed,4,,9649.59993,3.14,3.14,1,100000,113423.17
216345312,2020/02/25 09:33:15,2020/02/25 10:28:05,OANDA:NAS100USD,0,1671.23,sell,9152.8,9187.6,9036.5,8127.4,14.37,14.37,closed,2,,9036.50007,3.34,3.34,1,100000,115094.4
216346342,2020/02/26 09:46:10,2020/02/26 10:17:35,OANDA:NAS100USD,0,0,sell,8985.6,9013.4,,8923.4,17.99,17.99,closed,3,,8985.6,0,0,1,100000,115094.4
216482635,2020/02/27 09:52:30,2020/02/27 10:58:10,OANDA:NAS100USD,0,0,sell,8650.2,8718.8,,8517.3,8.39,8.39,closed,4,,8650.2,0,0,1,100000,115094.4
216483213,2020/02/28 09:46:20,2020/02/28 10:54:10,OANDA:NAS100USD,0,-305.76,sell,8228.8,8319.2,,8137,6.37,6.37,closed,5,,8276.8,-0.53,0,1,100000,114788.64
216483792,2020/03/02 09:43:45,2020/03/02 10:39:10,OANDA:NAS100USD,0,247.54,sell,8541,8594.8,8517.8,8443.6,10.67,10.67,closed,1,,8517.80037,0.43,0.43,1,100000,115036.18
216484144,2020/03/02 11:00:50,2020/03/02 11:11:25,OANDA:NAS100USD,0,-575.16,sell,8575.6,8596.8,,8553.6,27.13,27.13,closed,1,,8596.80015,-1,0,1,100000,114461.02
216485721,2020/03/04 10:00:10,2020/03/04 10:54:35,OANDA:NAS100USD,0,825.38,buy,8691.6,8665.6,8729.1,8949.8,22.01,22.01,closed,3,,8729.10023,1.44,1.44,1,100000,115286.4
216519444,2020/03/10 10:00:05,2020/03/10 10:46:50,OANDA:NAS100USD,0,-576.58,buy,8182.4,8137.6,,8255.6,12.87,12.87,closed,2,,8137.59969,-1,0,1,100000,114709.82
217257630,2020/03/19 09:47:35,2020/03/19 10:13:30,OANDA:NAS100USD,0,2021.15,buy,7077.7,7015.4,7329.4,7631.6,8.03,8.03,closed,4,,7329.39988,4.04,4.04,1,100000,116730.97
217259204,2020/03/20 09:33:00,2020/03/20 09:39:40,OANDA:NAS100USD,0,-499.8,buy,7429,7377.1,,7469.8,9.63,9.63,closed,5,,7377.09969,-1,0,1,100000,116231.17
217259760,2020/03/20 10:06:45,2020/03/20 11:20:05,OANDA:NAS100USD,0,62.2,buy,7370.8,7290.4,7380.8,7478.2,6.22,6.22,closed,5,,7380.8,0.12,0.12,1,100000,116293.37
217262661,2020/03/23 09:53:00,2020/03/23 10:54:35,OANDA:NAS100USD,0,-98.19,buy,6992.9,6838,,7080.1,3.23,3.23,closed,1,,6962.50062,-0.2,0,1,100000,116195.18
217265446,2020/03/27 09:51:30,2020/03/27 11:46:45,OANDA:NAS100USD,0,0,buy,7609.2,7575.2,,7796.8,14.71,14.71,closed,5,,7609.2,0,0,1,100000,116195.18
217326903,2020/03/31 10:02:40,2020/03/31 10:06:45,OANDA:NAS100USD,0,-500.12,sell,7840.8,7869.2,,7838.2,17.61,17.61,closed,2,,7869.19977,-1,0,1,100000,115695.06
217328218,2020/04/01 09:51:25,2020/04/01 10:16:15,OANDA:NAS100USD,0,-500.14,sell,7590.8,7627.2,,7560,13.74,13.74,closed,3,,7627.20029,-1,0,1,100000,115194.92
217328737,2020/04/01 10:25:00,2020/04/01 10:32:45,OANDA:NAS100USD,0,-499.99,sell,7602.3,7630,,7598.3,18.05,18.05,closed,3,,7629.99972,-1,0,1,100000,114694.93
217329653,2020/04/02 09:58:15,2020/04/02 10:12:15,OANDA:NAS100USD,0,-500.12,sell,7464,7515.4,,7455.2,9.73,9.73,closed,4,,7515.39979,-1,0,1,100000,114194.81
217331712,2020/04/07 11:00:55,2020/04/07 12:10:50,OANDA:NAS100USD,0,2737.75,buy,8094.5,8068.4,8223.7,8254.2,21.19,21.19,closed,2,,8223.70009,4.95,4.95,1,100000,116932.56
217335072,2020/04/13 09:42:10,2020/04/13 09:47:40,OANDA:NAS100USD,0,-500.09,buy,8212.7,8176.8,,8213.4,13.93,13.93,closed,1,,8176.79978,-1,0,1,100000,116432.47
217335338,2020/04/13 10:15:15,2020/04/13 10:25:05,OANDA:NAS100USD,0,-500.19,buy,8202,8161.4,,8202.2,12.32,12.32,closed,1,,8161.40016,-1,0,1,100000,115932.28
217338510,2020/04/17 09:44:00,2020/04/17 10:15:40,OANDA:NAS100USD,0,196.14,buy,8786.5,8765.6,8794.7,8847.6,23.92,23.92,closed,5,,8794.69983,0.39,0.39,1,100000,116128.42
217807224,2020/04/27 09:43:00,2020/04/27 10:59:15,OANDA:NAS100USD,0,-500.11,buy,8854,8826.4,,8883.8,18.12,18.12,closed,1,,8826.40011,-1,0,1,100000,115628.31
217808012,2020/04/27 11:03:00,2020/04/27 12:04:35,OANDA:NAS100USD,0,0,buy,8831.2,8814.2,,8870.4,29.41,29.41,closed,1,,8831.2,0,0,1,100000,115628.31
217811201,2020/04/28 10:27:10,2020/04/28 10:42:35,OANDA:NAS100USD,0,0,buy,8772.8,8759,,8802,36.23,36.23,closed,2,,8772.8,0,0,1,100000,115628.31
217816203,2020/05/01 10:10:55,2020/05/01 11:48:35,OANDA:NAS100USD,0,1648.49,sell,8858.2,8889.2,8756,8568.7,16.13,16.13,closed,5,,8755.99975,3.3,3.3,1,100000,117276.8
218016572,2020/05/06 09:56:30,2020/05/06 10:31:05,OANDA:NAS100USD,0,0,sell,9007.6,9038.6,,8946.4,18.92,18.92,closed,3,,9007.6,0,0,1,100000,117276.8
218018580,2020/05/07 10:29:55,2020/05/07 10:48:25,OANDA:NAS100USD,0,-586.32,buy,9079.8,9051.8,,9086.6,20.94,20.94,closed,4,,9051.8,-1,0,1,100000,116690.48
218019151,2020/05/08 10:26:55,2020/05/08 10:28:10,OANDA:NAS100USD,0,-583.41,sell,9179.2,9190.4,,9179,52.09,52.09,closed,5,,9190.40004,-1,0,1,100000,116107.07
218019727,2020/05/11 10:15:00,2020/05/11 10:46:50,OANDA:NAS100USD,0,-580.58,sell,9240,9254,,9222,41.47,41.47,closed,1,,9254,-1,0,1,100000,115526.49
218019976,2020/05/11 10:56:00,2020/05/11 11:23:35,OANDA:NAS100USD,0,-577.58,sell,9243,9261.4,,9232,31.39,31.39,closed,1,,9261.40013,-1,0,1,100000,114948.91
218020744,2020/05/12 09:42:00,2020/05/12 09:50:55,OANDA:NAS100USD,0,-574.58,buy,9308.4,9272.8,,9313.6,16.14,16.14,closed,2,,9272.80025,-1,0,1,100000,114374.33
218022087,2020/05/13 10:48:05,2020/05/13 11:38:00,OANDA:NAS100USD,0,1874.55,sell,9173.6,9211,9051,8855.4,15.29,15.29,closed,3,,9051.00026,3.28,3.28,1,100000,116248.88
218023346,2020/05/14 09:47:00,2020/05/14 10:39:00,OANDA:NAS100USD,0,263.59,sell,8936.2,8983.6,8914.7,8855.4,12.26,12.26,closed,4,,8914.7,0.45,0.45,1,100000,116512.47
218025271,2020/05/18 09:38:35,2020/05/18 09:53:55,OANDA:NAS100USD,0,-582.45,buy,9278,9254.4,,9304.4,24.68,24.68,closed,1,,9254.39992,-1,0,1,100000,115930.02
218122232,2020/05/18 09:56:55,2020/05/18 10:25:15,OANDA:NAS100USD,0,1051.42,buy,9263.4,9244,9304.2,9531.8,25.77,25.77,closed,1,,9304.20016,2.1,2.1,1,100000,116981.44
218222791,2020/05/19 09:34:25,2020/05/19 11:43:55,OANDA:NAS100USD,0,1650.58,buy,9336.8,9321.2,9388.3,9423.4,32.05,32.05,closed,2,,9388.29984,3.3,3.3,1,100000,118632.02
218226555,2020/05/21 10:01:05,2020/05/21 10:02:40,OANDA:NAS100USD,0,-499.95,buy,9474.4,9459.7,,9473.4,34.01,34.01,closed,4,,9459.69991,-1,0,1,100000,118132.07
218227352,2020/05/21 10:49:00,2020/05/21 11:06:30,OANDA:NAS100USD,0,-500.11,buy,9423,9392.8,,9437.6,16.56,16.56,closed,4,,9392.80012,-1,0,1,100000,117631.96
218232772,2020/05/26 09:46:50,2020/05/26 09:50:10,OANDA:NAS100USD,0,-499.97,buy,9537.6,9523.8,,9542.6,36.23,36.23,closed,2,,9523.80011,-1,0,1,100000,117131.99
218235653,2020/05/26 10:03:45,2020/05/26 10:41:55,OANDA:NAS100USD,0,-176.19,buy,9508.6,9487.6,,9529.8,23.81,23.81,closed,2,,9501.20017,-0.35,0,1,100000,116955.8
218236506,2020/05/28 09:46:45,2020/05/28 10:08:05,OANDA:NAS100USD,0,-500,sell,9447.8,9465.6,,9413,28.09,28.09,closed,4,,9465.59993,-1,0,1,100000,116455.8
218236906,2020/05/28 10:20:05,2020/05/28 10:27:00,OANDA:NAS100USD,0,-499.94,sell,9458.8,9478.2,,9461.8,25.77,25.77,closed,4,,9478.20008,-1,0,1,100000,115955.86
218237180,2020/05/29 09:34:20,2020/05/29 09:37:15,OANDA:NAS100USD,0,-499.99,buy,9451.6,9426.7,,9455.6,20.08,20.08,closed,5,,9426.7001,-1,0,1,100000,115455.87
218237544,2020/05/29 09:58:15,2020/05/29 10:08:30,OANDA:NAS100USD,0,-500.03,buy,9455.6,9424.6,,9468.7,16.13,16.13,closed,5,,9424.6,-1,0,1,100000,114955.84
218238175,2020/06/02 09:54:45,2020/06/02 10:40:50,OANDA:NAS100USD,0,326.37,buy,9576.6,9562.2,9586,9615,34.72,34.72,closed,2,,9586.00006,0.65,0.65,1,100000,115282.21
218240532,2020/06/08 10:13:55,2020/06/08 10:16:55,OANDA:NAS100USD,0,-500.05,buy,9765,9750.4,,9767,34.25,34.25,closed,1,,9750.4,-1,0,1,100000,114782.16
218240768,2020/06/08 10:23:00,2020/06/08 11:16:45,OANDA:NAS100USD,0,1646.46,buy,9766,9749.6,9820,10157.8,30.49,30.49,closed,1,,9820,3.29,3.29,1,100000,116428.62
218241674,2020/06/10 09:41:55,2020/06/10 10:30:30,OANDA:NAS100USD,0,-365.68,buy,10050.2,10026,,10080,20.66,20.66,closed,3,,10032.5001,-0.73,0,1,100000,116062.94
218587221,2020/06/12 09:39:05,2020/06/12 09:40:15,OANDA:NAS100USD,0,-500.09,sell,9798.8,9817.7,,9806.7,26.46,26.46,closed,5,,9817.69985,-1,0,1,100000,115562.85
218587908,2020/06/15 09:35:55,2020/06/15 09:37:20,OANDA:NAS100USD,0,-499.99,sell,9525.2,9553.4,,9521.7,17.73,17.73,closed,1,,9553.40023,-1,0,1,100000,115062.86
218588521,2020/06/15 10:17:20,2020/06/15 10:46:55,OANDA:NAS100USD,0,0,sell,9610.8,9635.8,,9558,20,20,closed,1,,9610.8,0,0,1,100000,115062.86
218589691,2020/06/17 09:35:10,2020/06/17 09:56:30,OANDA:NAS100USD,0,-296.02,buy,10008.4,9991,,10032.8,28.74,28.74,closed,3,,9998.10007,-0.59,0,1,100000,114766.84
218589945,2020/06/17 10:00:00,2020/06/17 10:18:25,OANDA:NAS100USD,0,-499.97,buy,9995,9978.2,,10009,29.76,29.76,closed,3,,9978.19993,-1,0,1,100000,114266.87
218590513,2020/06/18 10:40:40,2020/06/18 12:03:15,OANDA:NAS100USD,0,-41,buy,9975.2,9943.5,,10125.5,15.77,15.77,closed,4,,9972.60013,-0.08,0,1,100000,114225.87
218591319,2020/06/19 09:57:55,2020/06/19 10:46:25,OANDA:NAS100USD,0,-499.93,buy,10107.6,10089.2,,10121.4,27.17,27.17,closed,5,,10089.19993,-1,0,1,100000,113725.94
